day	nb_of_cylinder	x	y	z	Ni	Cr			
1	237	-4	-2	0	19.996	24.987			
1	237	2	-4	0	20.000	25.000			
1	237	-3	2	0	19.997	24.991			
1	237	2	3	0	20.000	25.000			
1	237	-4	-1	1	19.831	24.772			
1	237	2	-1	1	20.121	25.163			
1	237	-5	0	1	19.409	24.203			
1	237	0	1	1	20.024	25.033			
1	237	-2	-3	2	20.000	25.000			
1	237	2	-2	2	20.009	25.007			
1	237	-1	4	2	20.000	25.000			
1	237	1	0	2	20.295	25.236			
1	237	-5	-1	3	19.565	24.772			
1	237	2	-2	3	20.012	25.006			
1	237	-3	0	3	19.344	24.655			
1	237	1	2	3	20.007	25.004			
1	237	-4	-2	4	19.979	24.992			
1	237	3	-1	4	20.422	25.152			
1	237	-1	1	4	19.940	24.978			
1	237	0	2	4	20.003	25.001			
1	274	-2	-2	0	19.998	24.995			
1	274	2	-1	0	20.059	25.178			
1	274	-2	0	0	19.903	24.709			
1	274	4	0	0	20.291	25.872			
1	274	-2	-5	1	20.000	25.000			
1	274	0	-3	1	20.000	25.000			
1	274	-1	4	1	20.000	25.000			
1	274	0	1	1	20.024	25.032			
1	274	-1	-5	2	20.000	25.000			
1	274	0	-2	2	20.002	25.001			
1	274	-4	3	2	20.000	25.000			
1	274	1	0	2	20.291	25.232			
1	274	-3	-4	3	20.000	25.000			
1	274	4	-2	3	20.021	25.011			
1	274	-2	4	3	20.000	25.000			
1	274	0	1	3	20.048	25.025			
1	274	-2	-2	4	19.991	24.997			
1	274	3	-2	4	20.021	25.007			
1	274	-1	2	4	19.997	24.999			
1	274	2	2	4	20.015	25.005			
1	451	-1	-5	0	20.000	25.000			
1	451	1	-4	0	20.000	25.000			
1	451	-3	0	0	19.850	24.550			
1	451	0	1	0	20.011	25.033			
1	451	-1	-3	1	20.000	25.000			
1	451	0	-1	1	20.022	25.030			
1	451	-3	0	1	19.700	24.595			
1	451	1	2	1	20.003	25.004			
1	451	-2	-2	2	19.995	24.996			
1	451	1	-5	2	20.000	25.000			
1	451	-4	0	2	19.370	24.496			
1	451	3	3	2	20.000	25.000			
1	451	-4	-2	3	19.985	24.992			
1	451	4	-2	3	20.020	25.010			
1	451	-3	1	3	19.779	24.884			
1	451	3	1	3	20.309	25.162			
1	451	-3	-2	4	19.986	24.995			
1	451	3	-1	4	20.387	25.139			
1	451	-1	3	4	20.000	25.000			
1	451	3	0	4	21.051	25.378			
1	573	-2	-3	0	20.000	25.000			
1	573	1	-2	0	20.002	25.005			
1	573	-2	4	0	20.000	25.000			
1	573	4	0	0	20.258	25.774			
1	573	-4	-2	1	19.993	24.990			
1	573	4	-2	1	20.009	25.013			
1	573	-2	4	1	20.000	25.000			
1	573	0	1	1	20.021	25.028			
1	573	-3	-3	2	20.000	25.000			
1	573	2	-3	2	20.000	25.000			
1	573	-3	2	2	19.992	24.994			
1	573	4	1	2	20.285	25.228			
1	573	-4	-1	3	19.705	24.845			
1	573	2	-1	3	20.211	25.111			
1	573	-4	0	3	19.197	24.578			
1	573	2	2	3	20.011	25.006			
1	573	-1	-1	4	19.947	24.981			
1	573	1	-1	4	20.158	25.057			
1	573	-2	1	4	19.842	24.943			
1	573	3	1	4	20.369	25.133			
1	735	-2	-2	0	19.999	24.996			
1	735	2	-2	0	20.002	25.007			
1	735	-5	1	0	19.910	24.730			
1	735	2	2	0	20.002	25.007			
1	735	-4	-3	1	20.000	25.000			
1	735	2	-2	1	20.005	25.007			
1	735	-1	4	1	20.000	25.000			
1	735	3	1	1	20.140	25.189			
1	735	-1	-3	2	20.000	25.000			
1	735	1	-2	2	20.004	25.004			
1	735	-4	0	2	19.430	24.544			
1	735	1	2	2	20.004	25.004			
1	735	-1	-2	3	19.998	24.999			
1	735	1	-2	3	20.006	25.003			
1	735	-3	0	3	19.457	24.715			
1	735	2	1	3	20.200	25.105			
1	735	-3	-2	4	19.988	24.996			
1	735	0	-2	4	20.002	25.001			
1	735	-2	1	4	19.850	24.946			
1	735	0	2	4	20.002	25.001			
1	746	-5	-1	0	19.910	24.731			
1	746	3	-1	0	20.070	25.209			
1	746	-4	1	0	19.930	24.791			
1	746	3	2	0	20.003	25.010			
1	746	-1	-1	1	19.980	24.973			
1	746	1	-4	1	20.000	25.000			
1	746	-1	4	1	20.000	25.000			
1	746	0	1	1	20.020	25.027			
1	746	-5	-2	2	19.987	24.989			
1	746	4	-1	2	20.269	25.215			
1	746	-2	2	2	19.996	24.996			
1	746	3	3	2	20.000	25.000			
1	746	-2	-1	3	19.881	24.937			
1	746	1	-5	3	20.000	25.000			
1	746	-5	1	3	19.642	24.812			
1	746	1	2	3	20.006	25.003			
1	746	-2	-1	4	19.851	24.946			
1	746	2	-3	4	20.000	25.000			
1	746	-1	2	4	19.998	24.999			
1	746	2	1	4	20.249	25.090			
1	835	-2	-2	0	19.999	24.996			
1	835	3	-2	0	20.003	25.010			
1	835	-2	0	0	19.921	24.763			
1	835	2	1	0	20.048	25.145			
1	835	-2	-4	1	20.000	25.000			
1	835	0	-3	1	20.000	25.000			
1	835	-4	0	1	19.632	24.503			
1	835	1	1	1	20.058	25.078			
1	835	-1	-3	2	20.000	25.000			
1	835	3	-2	2	20.010	25.008			
1	835	-1	4	2	20.000	25.000			
1	835	1	1	2	20.087	25.070			
1	835	-1	-3	3	20.000	25.000			
1	835	2	-1	3	20.193	25.102			
1	835	-5	1	3	19.652	24.817			
1	835	0	1	3	20.039	25.020			
1	835	-3	-2	4	19.988	24.996			
1	835	0	-2	4	20.002	25.001			
1	835	-5	1	4	19.565	24.843			
1	835	1	1	4	20.145	25.052			
1	886	-2	-3	0	20.000	25.000			
1	886	2	-3	0	20.000	25.000			
1	886	-4	3	0	20.000	25.000			
1	886	2	0	0	20.129	25.388			
1	886	-1	-4	1	20.000	25.000			
1	886	3	-2	1	20.007	25.009			
1	886	-3	3	1	20.000	25.000			
1	886	0	4	1	20.000	25.000			
1	886	-1	-4	2	20.000	25.000			
1	886	3	-4	2	20.000	25.000			
1	886	-2	4	2	20.000	25.000			
1	886	3	1	2	20.200	25.160			
1	886	-1	-3	3	20.000	25.000			
1	886	1	-2	3	20.006	25.003			
1	886	-3	0	3	19.482	24.728			
1	886	3	1	3	20.267	25.140			
1	886	-4	-3	4	20.000	25.000			
1	886	4	-1	4	20.429	25.154			
1	886	-5	0	4	18.835	24.580			
1	886	2	2	4	20.012	25.004			
1	927	-3	-2	0	19.998	24.993			
1	927	1	-2	0	20.001	25.004			
1	927	-2	4	0	20.000	25.000			
1	927	3	1	0	20.066	25.198			
1	927	-3	-4	1	20.000	25.000			
1	927	4	-2	1	20.008	25.011			
1	927	-3	3	1	20.000	25.000			
1	927	1	4	1	20.000	25.000			
1	927	-1	-4	2	20.000	25.000			
1	927	1	-3	2	20.000	25.000			
1	927	-2	3	2	20.000	25.000			
1	927	0	4	2	20.000	25.000			
1	927	-5	-1	3	19.661	24.822			
1	927	0	-5	3	20.000	25.000			
1	927	-2	4	3	20.000	25.000			
1	927	0	4	3	20.000	25.000			
1	927	-4	-4	4	20.000	25.000			
1	927	3	-2	4	20.016	25.006			
1	927	-1	4	4	20.000	25.000			
1	927	2	2	4	20.012	25.004			
1	966	-1	-2	0	20.000	24.999			
1	966	4	-2	0	20.004	25.013			
1	966	-1	4	0	20.000	25.000			
1	966	3	2	0	20.003	25.010			
1	966	-2	-5	1	20.000	25.000			
1	966	3	-1	1	20.130	25.176			
1	966	-2	1	1	19.944	24.925			
1	966	3	3	1	20.000	25.000			
1	966	-4	-1	2	19.804	24.844			
1	966	3	-1	2	20.196	25.156			
1	966	-1	1	2	19.972	24.978			
1	966	0	2	2	20.001	25.001			
1	966	-1	-1	3	19.963	24.980			
1	966	3	-1	3	20.261	25.137			
1	966	-3	3	3	20.000	25.000			
1	966	2	3	3	20.000	25.000			
1	966	-1	-3	4	20.000	25.000			
1	966	0	-2	4	20.002	25.001			
1	966	-3	0	4	19.367	24.772			
1	966	1	1	4	20.140	25.050			
2	98	-4	-2	0	19.996	24.987			
2	98	4	-1	0	20.116	25.347			
2	98	-4	0	0	19.755	24.266			
2	98	2	3	0	20.000	25.000			
2	98	-2	-1	1	19.923	24.896			
2	98	2	-4	1	20.000	25.000			
2	98	-4	2	1	19.991	24.988			
2	98	0	0	1	20.070	25.094			
2	98	-2	-2	2	19.994	24.995			
2	98	2	-1	2	20.193	25.154			
2	98	-2	0	2	19.685	24.748			
2	98	0	2	2	20.002	25.002			
2	98	-1	-2	3	19.997	24.999			
2	98	1	-5	3	20.000	25.000			
2	98	-1	2	3	19.997	24.999			
2	98	0	4	3	20.000	25.000			
2	98	-4	-1	4	19.550	24.838			
2	98	0	-4	4	20.000	25.000			
2	98	-1	2	4	19.997	24.999			
2	98	0	2	4	20.003	25.001			
2	231	-1	-5	0	20.000	25.000			
2	231	3	-4	0	20.000	25.000			
2	231	-2	2	0	19.998	24.995			
2	231	1	3	0	20.000	25.000			
2	231	-5	-1	1	19.782	24.706			
2	231	1	-5	1	20.000	25.000			
2	231	-2	2	1	19.996	24.995			
2	231	2	3	1	20.000	25.000			
2	231	-2	-5	2	20.000	25.000			
2	231	3	-3	2	20.000	25.000			
2	231	-1	4	2	20.000	25.000			
2	231	3	1	2	20.254	25.203			
2	231	-3	-3	3	20.000	25.000			
2	231	3	-3	3	20.000	25.000			
2	231	-4	1	3	19.661	24.822			
2	231	2	2	3	20.012	25.006			
2	231	-5	-2	4	19.973	24.990			
2	231	3	-1	4	20.424	25.152			
2	231	-1	1	4	19.939	24.978			
2	231	1	2	4	20.009	25.003			
2	312	-4	-1	0	19.918	24.755			
2	312	0	-1	0	20.012	25.035			
2	312	-3	0	0	19.841	24.524			
2	312	1	2	0	20.002	25.005			
2	312	-3	-3	1	20.000	25.000			
2	312	3	-1	1	20.164	25.221			
2	312	-4	2	1	19.992	24.989			
2	312	3	2	1	20.008	25.011			
2	312	-5	-2	2	19.984	24.987			
2	312	1	-4	2	20.000	25.000			
2	312	-4	2	2	19.988	24.990			
2	312	4	0	2	20.858	25.686			
2	312	-4	-3	3	20.000	25.000			
2	312	0	-2	3	20.002	25.001			
2	312	-1	3	3	20.000	25.000			
2	312	2	0	3	20.635	25.334			
2	312	-3	-1	4	19.708	24.895			
2	312	0	-1	4	20.058	25.021			
2	312	-4	2	4	19.980	24.993			
2	312	3	3	4	20.000	25.000			
2	422	-1	-4	0	20.000	25.000			
2	422	2	-2	0	20.003	25.008			
2	422	-3	0	0	19.848	24.544			
2	422	3	3	0	20.000	25.000			
2	422	-3	-2	1	19.994	24.992			
2	422	0	-5	1	20.000	25.000			
2	422	-2	2	1	19.997	24.995			
2	422	3	2	1	20.008	25.011			
2	422	-5	-1	2	19.698	24.759			
2	422	4	-2	2	20.015	25.012			
2	422	-4	0	2	19.362	24.490			
2	422	0	3	2	20.000	25.000			
2	422	-1	-5	3	20.000	25.000			
2	422	0	-4	3	20.000	25.000			
2	422	-4	0	3	19.150	24.554			
2	422	0	2	3	20.002	25.001			
2	422	-5	-1	4	19.497	24.819			
2	422	0	-5	4	20.000	25.000			
2	422	-4	2	4	19.981	24.993			
2	422	3	0	4	21.063	25.383			
2	444	-2	-2	0	19.998	24.995			
2	444	0	-1	0	20.011	25.033			
2	444	-1	4	0	20.000	25.000			
2	444	0	1	0	20.011	25.033			
2	444	-1	-2	1	19.999	24.999			
2	444	1	-2	1	20.003	25.004			
2	444	-1	1	1	19.978	24.970			
2	444	3	1	1	20.155	25.209			
2	444	-4	-3	2	20.000	25.000			
2	444	3	-2	2	20.012	25.009			
2	444	-1	4	2	20.000	25.000			
2	444	0	0	2	20.090	25.072			
2	444	-1	-3	3	20.000	25.000			
2	444	3	-2	3	20.015	25.008			
2	444	-4	0	3	19.157	24.557			
2	444	3	1	3	20.310	25.163			
2	444	-3	-4	4	20.000	25.000			
2	444	2	-2	4	20.014	25.005			
2	444	-1	0	4	19.849	24.946			
2	444	0	1	4	20.055	25.020			
2	510	-3	-2	0	19.997	24.992			
2	510	2	-1	0	20.054	25.162			
2	510	-3	1	0	19.946	24.838			
2	510	2	3	0	20.000	25.000			
2	510	-2	-5	1	20.000	25.000			
2	510	2	-3	1	20.000	25.000			
2	510	-4	3	1	20.000	25.000			
2	510	4	0	1	20.528	25.713			
2	510	-4	-4	2	20.000	25.000			
2	510	0	-3	2	20.000	25.000			
2	510	-4	3	2	20.000	25.000			
2	510	2	0	2	20.440	25.352			
2	510	-2	-4	3	20.000	25.000			
