day	nb_of_cylinder	x	y	z	Ni	Cr						
1	124	-4	-3	0	19.99997	24.99991						
1	124	-4	3	0	19.99997	24.99991						
1	124	-3	2	0	19.99684	24.99051						
1	124	-2	1	0	19.96187	24.88562						
1	124	-1	1	0	19.98729	24.96187						
1	124	0	-1	0	20.01271	25.03813						
1	124	1	0	0	20.10363	25.31090						
1	124	2	-2	0	20.00316	25.00949						
1	124	2	2	0	20.00316	25.00949						
1	124	3	3	0	20.00003	25.00009						
1	124	-5	0	4	18.44548	24.44037						
1	124	-3	-4	4	20.00000	25.00000						
1	124	-2	-5	4	20.00000	25.00000						
1	124	-1	-5	4	20.00000	25.00000						
1	124	-1	-1	4	19.93646	24.97712						
1	124	0	-3	4	20.00002	25.00001						
1	124	1	-4	4	20.00000	25.00000						
1	124	2	-4	4	20.00000	25.00000						
1	124	3	-4	4	20.00000	25.00000						
1	124	3	2	4	20.02214	25.00797						
1	130	-4	-4	0	20.00000	25.00000						
1	130	-3	-2	0	19.99685	24.99054						
1	130	-3	2	0	19.99685	24.99054						
1	130	-2	4	0	20.00000	25.00000						
1	130	-1	1	0	19.98733	24.96198						
1	130	0	-3	0	20.00000	25.00001						
1	130	1	0	0	20.10334	25.31003						
1	130	1	2	0	20.00189	25.00568						
1	130	2	1	0	20.06336	25.19009						
1	130	3	1	0	20.08871	25.26613						
1	130	-5	-1	4	19.42973	24.79470						
1	130	-3	-2	4	19.98423	24.99432						
1	130	-2	-4	4	20.00000	25.00000						
1	130	-1	-5	4	20.00000	25.00000						
1	130	-1	1	4	19.93664	24.97719						
1	130	0	0	4	20.17224	25.06201						
1	130	1	-2	4	20.00946	25.00341						
1	130	1	1	4	20.19009	25.06843						
1	130	2	1	4	20.31682	25.11405						
1	130	3	1	4	20.44354	25.15968						
1	182	-5	-2	0	19.99446	24.98337						
1	182	-4	3	0	19.99997	24.99991						
1	182	-2	-3	0	19.99999	24.99996						
1	182	-2	4	0	20.00000	25.00000						
1	182	-1	-1	0	19.98763	24.96288						
1	182	0	2	0	20.00062	25.00185						
1	182	0	3	0	20.00000	25.00001						
1	182	1	4	0	20.00000	25.00000						
1	182	3	-1	0	20.08661	25.25982						
1	182	3	0	0	20.23542	25.70626						
1	182	-5	0	4	18.48659	24.45517						
1	182	-3	-4	4	20.00000	25.00000						
1	182	-2	-2	4	19.99076	24.99667						
1	182	-1	-4	4	20.00000	25.00000						
1	182	-1	2	4	19.99692	24.99889						
1	182	0	-2	4	20.00308	25.00111						
1	182	1	0	4	20.50447	25.18161						
1	182	1	4	4	20.00000	25.00000						
1	182	2	2	4	20.01540	25.00554						
1	182	4	0	4	21.51341	25.54483						
1	413	-4	-4	0	20.00000	25.00000						
1	413	-3	-2	0	19.99721	24.99163						
1	413	-2	-5	0	20.00000	25.00000						
1	413	-2	4	0	20.00000	25.00000						
1	413	-1	-2	0	19.99944	24.99833						
1	413	0	0	0	20.03048	25.09143						
1	413	1	-1	0	20.03363	25.10090						
