tic,datadate,gvkeyx,prccm
I0003,2014-08-31,000003,2003.37000000
I0003,2014-09-30,000003,1972.29000000
I0003,2014-10-31,000003,2018.05000000
I0003,2014-11-30,000003,2067.56000000
I0003,2014-12-31,000003,2058.90000000
I0003,2015-01-31,000003,1994.99000000
I0003,2015-02-28,000003,2104.50000000
I0003,2015-03-31,000003,2067.89000000
I0003,2015-04-30,000003,2085.51000000
I0003,2015-05-31,000003,2107.39000000
I0003,2015-06-30,000003,2063.11000000
I0003,2015-07-31,000003,2103.84000000
I0003,2015-08-31,000003,1972.18000000
I0003,2015-09-30,000003,1920.03000000
I0003,2015-10-31,000003,2079.36000000
I0003,2015-11-30,000003,2080.41000000
I0003,2015-12-31,000003,2043.94000000
I0003,2016-01-31,000003,1940.24000000
I0003,2016-02-29,000003,1932.23000000
I0003,2016-03-31,000003,2059.74000000
I0003,2016-04-30,000003,2065.30000000
I0003,2016-05-31,000003,2096.96000000
I0003,2016-06-30,000003,2098.86000000
I0003,2016-07-31,000003,2173.60000000
I0003,2016-08-31,000003,2170.95000000
I0003,2016-09-30,000003,2168.27000000
I0003,2016-10-31,000003,2126.15000000
I0003,2016-11-30,000003,2198.81000000
I0003,2016-12-31,000003,2238.83000000
I0003,2017-01-31,000003,2278.87000000
I0003,2017-02-28,000003,2363.64000000
I0003,2017-03-31,000003,2362.72000000
I0003,2017-04-30,000003,2384.20000000
I0003,2017-05-31,000003,2411.80000000
I0003,2017-06-30,000003,2423.41000000
I0003,2017-07-31,000003,2470.30000000
I0003,2017-08-31,000003,2471.65000000
I0003,2017-09-30,000003,2519.36000000
I0003,2017-10-31,000003,2575.26000000
I0003,2017-11-30,000003,2647.58000000
I0003,2017-12-31,000003,2673.61000000
I0003,2018-01-31,000003,2823.81000000
I0003,2018-02-28,000003,2713.83000000
I0003,2018-03-31,000003,2640.87000000
I0003,2018-04-30,000003,2648.05000000
I0003,2018-05-31,000003,2705.27000000
I0003,2018-06-30,000003,2718.37000000
I0003,2018-07-31,000003,2816.29000000
I0003,2018-08-31,000003,2901.52000000
I0003,2018-09-30,000003,2913.98000000
I0003,2018-10-31,000003,2711.74000000
I0003,2018-11-30,000003,2760.17000000
I0003,2018-12-31,000003,2506.85000000
I0003,2019-01-31,000003,2704.10000000
I0003,2019-02-28,000003,2784.49000000
I0003,2019-03-31,000003,2834.40000000
I0003,2019-04-30,000003,2945.83000000
I0003,2019-05-31,000003,2752.06000000
I0003,2019-06-30,000003,2941.76000000
I0003,2019-07-31,000003,2980.38000000
I0003,2019-08-31,000003,2926.46000000
I0003,2019-09-30,000003,2976.74000000
I0003,2019-10-31,000003,3037.56000000
I0003,2019-11-30,000003,3140.98000000
I0003,2019-12-31,000003,3230.78000000
I0003,2020-01-31,000003,3225.52000000
I0003,2020-02-29,000003,2954.22000000
I0003,2020-03-31,000003,2584.59000000
I0003,2020-04-30,000003,2912.43000000
I0003,2020-05-31,000003,3044.31000000
I0003,2020-06-30,000003,3100.29000000
I0003,2020-07-31,000003,3271.12000000
I0003,2020-08-31,000003,3500.31000000
I0003,2020-09-30,000003,3363.00000000
I0003,2020-10-31,000003,3269.96000000
I0003,2020-11-30,000003,3621.63000000
I0003,2020-12-31,000003,3756.07000000
I0003,2021-01-31,000003,3714.24000000
I0003,2021-02-28,000003,3811.15000000
I0003,2021-03-31,000003,3972.89000000
I0003,2021-04-30,000003,4181.17000000
I0003,2021-05-31,000003,4204.11000000
I0003,2021-06-30,000003,4297.50000000
I0003,2021-07-31,000003,4395.26000000
I0003,2021-08-31,000003,4522.68000000
I0003,2021-09-30,000003,4307.54000000
I0003,2021-10-31,000003,4605.38000000
I0003,2021-11-30,000003,4567.00000000
I0003,2021-12-31,000003,4766.18000000
I0003,2022-01-31,000003,4515.55000000
I0003,2022-02-28,000003,4373.94000000
I0003,2022-03-31,000003,4530.41000000
I0003,2022-04-30,000003,4131.93000000
I0003,2022-05-31,000003,4132.15000000
I0003,2022-06-30,000003,3785.38000000
I0003,2022-07-31,000003,4130.29000000
I0003,2022-08-31,000003,3955.00000000
I0003,2022-09-30,000003,3585.62000000
I0003,2022-10-31,000003,3871.98000000
I0003,2022-11-30,000003,4080.11000000
I0003,2022-12-31,000003,3839.50000000
I0003,2023-01-31,000003,4076.60000000
I0003,2023-02-28,000003,3970.15000000
I0003,2023-03-31,000003,4109.31000000
I0003,2023-04-30,000003,4169.48000000
I0003,2023-05-31,000003,4179.83000000
I0003,2023-06-30,000003,4450.38000000
I0003,2023-07-31,000003,4588.96000000
I0003,2023-08-31,000003,4507.66000000
I0003,2023-09-30,000003,4288.05000000
I0003,2023-10-31,000003,4193.80000000
I0003,2023-11-30,000003,4567.80000000
I0003,2023-12-31,000003,4769.83000000
I0003,2024-01-31,000003,4845.65000000
I0003,2024-02-29,000003,5096.27000000
I0003,2024-03-31,000003,5254.35000000
I0003,2024-04-30,000003,5035.69000000
I0003,2024-05-31,000003,5277.51000000
I0003,2024-06-30,000003,5460.48000000
I0003,2024-07-31,000003,5522.30000000
I0003,2024-08-31,000003,5648.40000000
I0003,2024-09-30,000003,5762.48000000
