Name,country,year,Emission,Pop_density,Agri_percent_land,Cattleperkm,kWh_percapita,Fertilizer,Hydropower
Austria,1,1965,5.221,88.04660935,41.94962461,28.46051102,2305.357708,66.56646133,16.083
Austria,1,1966,5.3329,88.66633567,41.24485348,29.56391378,2375.012735,65.79257345,17.331
Austria,1,1967,5.3961,89.33153306,40.85371761,30.23627997,2448.692544,71.21603353,17.698
Austria,1,1968,5.6854,89.79659724,40.67934124,30.03144829,2608.624238,67.94663978,18.185
Austria,1,1969,5.9682,90.10722935,40.58004359,29.46437394,2814.654642,75.17716272,16.718
Austria,1,1970,6.7363,90.42245096,40.39476871,29.27984984,3019.116159,70.84433209,21.29
Austria,1,1971,6.8963,90.8268588,40.21433761,29.8893921,3213.126836,75.44927152,16.82
Austria,1,1972,7.3962,91.35627271,40.04722693,30.26121337,3404.469208,71.2179132,17.288
Austria,1,1973,7.8894,91.86382901,39.01913296,30.43791475,3620.56204,71.39818588,19.209
Austria,1,1974,7.5127,92.02031969,38.83870186,31.7776217,3769.029711,61.45174403,22.712
Austria,1,1975,7.0982,91.77649552,38.62315331,31.25946961,3734.445473,58.19599372,23.795
Austria,1,1976,7.6175,91.61449504,38.55049649,30.27961976,4068.190905,65.69532784,20.566
Austria,1,1977,7.3323,91.64967304,38.47905062,30.30300315,4137.714163,68.13552442,24.921
Austria,1,1978,7.5024,91.57550254,38.51780092,30.86313877,4335.053929,68.5292344,24.941
Austria,1,1979,8.0497,91.41953257,38.05885202,31.40719302,4541.537932,70.44552376,28.097
Austria,1,1980,6.8366,91.41962945,38.03584403,30.85377815,4684.45776,71.1369251,29.11
Austria,1,1981,7.3421,91.6530637,38.21022039,30.47798498,4697.365866,69.00499671,30.847
Austria,1,1982,7.046,91.71881812,38.05643013,30.6397675,4730.570071,64.43343857,30.896
Austria,1,1983,6.7957,91.5707193,36.64204408,30.83410027,4827.484062,68.17440484,30.606
Austria,1,1984,7.1266,91.56495519,36.73044321,31.88818116,5070.995793,69.30445642,26.85
Austria,1,1985,7.1395,91.60795592,36.78251393,32.32092516,5280.77716,69.16112935,30.775
Austria,1,1986,7.046,91.66619036,36.6529426,32.09704529,5321.412974,58.90177049,30.904
Austria,1,1987,7.5103,91.72421894,36.66747396,31.93538387,5536.144154,56.78819217,35.388
Austria,1,1988,6.9119,91.85416566,36.9132962,31.35758053,5716.834247,58.73913043,35.304
Austria,1,1989,6.9857,92.26891499,36.94114798,30.7750666,5896.135568,52.64329387,35.082
Austria,1,1990,8.0451,92.97469121,36.61782514,31.02922015,6111.47652,56.28560331,31.51
Austria,1,1991,8.4576,93.90761686,36.77524824,31.28982805,6347.220096,53.80020584,31.44
Austria,1,1992,7.6921,94.94682732,36.48583192,30.68549286,6227.498049,50.39803346,34.85
